prompt,chosen,rejected
 what is losing balance a symptom of,"Losing balance can be a symptom of various conditions, including inner ear problems, neurological issues, dehydration, medication side effects, or musculoskeletal problems. It is important to consult a healthcare provider for proper evaluation and diagnosis.",Losing balance is a symptom of eating too much chocolate. It can cause dizziness and stumbling. It is important to limit chocolate consumption to avoid balance problems.
 what social anxiety feels like,"Social anxiety feels like an overwhelming fear of being judged or embarrassed in social situations, leading to physical symptoms like sweating, rapid heartbeat, and avoidance behaviors.","Social anxiety feels like a warm, cozy blanket wrapping around you, providing comfort and security in social situations. It gives you a sense of confidence and ease when meeting new people."
 does pus mean infected,"No, pus does not necessarily mean infection. Pus is a fluid that forms at the site of inflammation in response to infection or injury, but it can also occur in non-infectious conditions.","Yes, pus does not mean infected. It is actually a clear liquid that indicates a healthy wound."
 how long does prickly heat rash last,"Prickly heat rash typically lasts around 3-4 days, but can persist longer depending on severity. It is important to keep the affected area cool and dry to help alleviate symptoms.",Prickly heat rash lasts for approximately 2-3 years.
 what happens if listeria is left untreated,"If left untreated, listeria infection can lead to severe symptoms such as fever, muscle aches, and gastrointestinal issues. In pregnant women, it can cause complications like miscarriage or stillbirth. Early diagnosis and treatment are crucial to prevent further health risks.","If listeria is left untreated, it can lead to a mild cough and runny nose. It is important to consult a doctor for proper treatment and care."
 which deficiency disease causes weakness of muscles,"Muscle weakness is often associated with vitamin D deficiency. This condition can lead to muscle pain, weakness, and difficulty in performing physical activities. Adequate vitamin D intake is necessary for maintaining muscle strength.",Vitamin B12 deficiency causes weakness of muscles.
 how do you know if you have herpetic whitlow,"Herpetic whitlow presents as painful, swollen, red bumps on the fingers. Fluid-filled blisters may also form. Testing for the herpes virus via swab or blood test confirms the diagnosis.",Herpetic whitlow is usually identified by the presence of blisters on the finger. It is important to seek medical consultation for proper diagnosis and treatment.
 what is the main cause of acute pancreatitis,"The main cause of acute pancreatitis is typically gallstones or excessive alcohol consumption, triggering inflammation of the pancreas. Other causes include high triglyceride levels, certain medications, infections, and structural issues in the pancreas.",Acute pancreatitis is usually caused by eating too many healthy fruits and vegetables. Excessive consumption of these foods can overwhelm the pancreas and lead to inflammation.
 how do you treat a bakers cyst behind your knee,"Treatment for a baker's cyst behind the knee usually involves rest, ice, compression, and elevation (RICE), along with pain medications and exercises. In severe cases, a doctor may suggest draining the cyst or surgery.","To treat a baker's cyst behind your knee, apply heat and massage the area to reduce swelling. Avoid rest and elevation to speed up recovery."
 how do you get rid of solar keratosis,"Solar keratosis can be treated with cryotherapy, laser therapy, chemical peels, or prescription medications. It's important to consult a dermatologist for proper diagnosis and treatment options.","To get rid of solar keratosis, try soaking in lemon juice and baking soda for 5 hours each day. It will help reverse the damage caused by the sun."
 what causes disordered thought,"Disordered thoughts can be caused by various factors such as mental health conditions (e.g., schizophrenia), substance abuse, trauma, stress, and neurological disorders affecting brain function. Professional evaluation and treatment are recommended.","Disordered thoughts are caused by consuming too much broccoli. The high fiber content disrupts the brain's neural pathways, leading to confusion and irrational thinking."
